Alabama	Montgomery	205,764	155.4
Alaska	Juneau	31,275	2716.7
Arizona	Phoenix	1,445,632	474.9
Arkansas	Little Rock	193,524	116.2
California	Sacramento	466,488	97.2
Colorado	Denver	600,158	153.4
Connecticut	Hartford	124,775	17.3
Delaware	Dover	36,047	22.4
District of Columbia	Washington	601,723	61.4
Florida	Tallahassee	181,412	95.7
Georgia	Atlanta	420,003	131.7
Hawaii	Honolulu	337,256	85.7
Idaho	Boise	205,671	63.8
Illinois	Springfield	116,250	54
Indiana	Indianapolis	829,718	361.5
Iowa	Des Moines	203,433	75.8
Kansas	Topeka	127,473	56
Kentucky	Frankfort	25,527	14.7
Louisiana	Baton Rouge	229,553	76.8
Maine	Augusta	19,136	55.4
Maryland	Annapolis	38,394	6.73
Massachusetts	Boston	617,594	48.4
Michigan	Lansing	114,297	35
Minnesota	Saint Paul	285,068	52.8
Mississippi	Jackson	173,514	104.9
Missouri	Jefferson City	43,079	27.3
Montana	Helena	28,190	14
Nebraska	Lincoln	258,379	74.6
Nevada	Carson City	55,274	143.4
New Hampshire	Concord	42,695	64.3
New Jersey	Trenton	84,913	7.66
New Mexico	Santa Fe	75,764	37.3
New York	Albany	97,856	21.4
North Carolina	Raleigh	403,892	114.6
North Dakota	Bismarck	61,272	26.9
Ohio	Columbus	822,553	210.3
Oklahoma	Oklahoma City	580,000	607
Oregon	Salem	154,637	45.7
Pennsylvania	Harrisburg	49,528	8.11
Rhode Island	Providence	178,042	18.5
South Carolina	Columbia	131,686	125.2
South Dakota	Pierre	13,646	13
Tennessee	Nashville	635,710	473.3
Texas	Austin	790,390	251.5
Utah	Salt Lake City	186,440	109.1
Vermont	Montpelier	7,855	10.2
Virginia	Richmond	204,214	60.1
Washington	Olympia	46,478	16.7
West Virginia	Charleston	51,400	31.6
Wisconsin	Madison	233,209	68.7
Wyoming	Cheyenne	59,466	21.1